Basin,Stem,Station,Date---,Species,Average,Minimum,Maximum,Body,Town,Latitude,Longitude,,,,,,,
1,2,4,940728,ylbull,0.0,0,0,Trout Brk/Pound Hill Rd,North Smithfield,41.97950748,-71.57978469,,,,,,,
1,2,5,940816,brbull,128.0,128,128,Mowry Pane Brk/Long Entry Rd,Glocester,41.92419889,-71.62048078,,,,,,,
1,2,5,940816,brktrt,93.3,41,211,Mowry Pane Brk/Long Entry Rd,Glocester,41.92419889,-71.62048078,,,,,,,
1,2,5,940816,rdfnpick,108.0,67,136,Mowry Pane Brk/Long Entry Rd,Glocester,41.92419889,-71.62048078,,,,,,,
1,2,6,940816,brbull,90.0,88,92,Rankin Brk/Mattity Rd,North Smithfield,41.95449011,-71.58392638,,,,,,,
1,2,6,940816,brktrt,103.0,81,125,Rankin Brk/Mattity Rd,North Smithfield,41.95449011,-71.58392638,,,,,,,
1,2,6,940816,lmb,63.0,63,63,Rankin Brk/Mattity Rd,North Smithfield,41.95449011,-71.58392638,,,,,,,
1,2,6,940816,pmpknsd,79.0,70,88,Rankin Brk/Mattity Rd,North Smithfield,41.95449011,-71.58392638,,,,,,,
1,2,6,940816,rdfnpick,75.5,69,82,Rankin Brk/Mattity Rd,North Smithfield,41.95449011,-71.58392638,,,,,,,
1,2,6,940816,wtsuck,97.0,97,97,Rankin Brk/Mattity Rd,North Smithfield,41.95449011,-71.58392638,,,,,,,
1,2,7,950516,blgl,130.6,84,201,Upper Slatersville Res.,Burrillville/N. Smithfield,41.987528,-71.595722,,,,,,,
1,2,7,950516,blkcrp,230.4,151,271,Upper Slatersville Res.,Burrillville/N. Smithfield,41.987528,-71.595722,,,,,,,
1,2,7,950516,chnpick,273.2,149,476,Upper Slatersville Res.,Burrillville/N. Smithfield,41.987528,-71.595722,,,,,,,
1,2,7,950516,gldshnr,222.6,157,260,Upper Slatersville Res.,Burrillville/N. Smithfield,41.987528,-71.595722,,,,,,,
1,2,7,950516,lmb,273.4,107,480,Upper Slatersville Res.,Burrillville/N. Smithfield,41.987528,-71.595722,,,,,,,
1,2,7,950516,pmpknsd,131.1,71,186,Upper Slatersville Res.,Burrillville/N. Smithfield,41.987528,-71.595722,,,,,,,
1,2,7,950516,rnbwtrt,301.0,301,301,Upper Slatersville Res.,Burrillville/N. Smithfield,41.987528,-71.595722,,,,,,,
1,2,7,950516,wtsuck,402.3,52,521,Upper Slatersville Res.,Burrillville/N. Smithfield,41.987528,-71.595722,,,,,,,
1,2,7,950516,ylbull,476.0,476,476,Upper Slatersville Res.,Burrillville/N. Smithfield,41.987528,-71.595722,,,,,,,
1,2,7,950516,yperch,170.0,128,219,Upper Slatersville Res.,Burrillville/N. Smithfield,41.987528,-71.595722,,,,,,,
1,2,7,1041018,blgl,0.0,0,0,Upper Slatersville Res.,Burrillville/N. Smithfield,41.987528,-71.595722,,,,,,,
1,2,7,1041018,blkcrp,0.0,0,0,Upper Slatersville Res.,Burrillville/N. Smithfield,41.987528,-71.595722,,,,,,,
