Basin,Stem,Station,Date,Species,Average,Minimum,Maximum,Body,Town,Latitude,Longitude,,,,,,,,
2,2,8,930930,brbull,260.0,243,275,Killingly Pond,Glocester,41.86250,-71.79498,,,,,,,,
2,2,8,930930,chnpick,401.0,332,470,Killingly Pond,Glocester,41.86250,-71.79498,,,,,,,,
2,2,8,930930,lmb,171.2,114,311,Killingly Pond,Glocester,41.86250,-71.79498,,,,,,,,
2,2,8,930930,pmpknsd,126.2,108,192,Killingly Pond,Glocester,41.86250,-71.79498,,,,,,,,
2,2,8,930930,yperch,330.0,330,330,Killingly Pond,Glocester,41.86250,-71.79498,,,,,,,,
2,2,9,930723,brbull,140.0,140,140,Shady Oak Bk/Sheldon Rd,Glocester,41.89667,-71.79528,,,,,,,,
2,2,9,930723,brbull,0.0,0,0,Shady Oak Bk/Sheldon Rd,Glocester,41.89667,-71.79528,,,,,,,,
2,2,9,930723,brktrt,95.0,61,190,Shady Oak Bk/Sheldon Rd,Glocester,41.89667,-71.79528,,,,,,,,
2,2,9,930723,brntrt,269.0,266,272,Shady Oak Bk/Sheldon Rd,Glocester,41.89667,-71.79528,,,,,,,,
2,2,9,930723,chnpick,125.0,125,125,Shady Oak Bk/Sheldon Rd,Glocester,41.89667,-71.79528,,,,,,,,
2,2,10,930728,brbull,140.0,140,140,Keach Bk/Upstream from Peck Pond,Burrillville,41.94360,-71.78266,,,,,,,,
2,2,10,930728,chnpick,161.5,117,206,Keach Bk/Upstream from Peck Pond,Burrillville,41.94360,-71.78266,,,,,,,,
2,2,11,930831,chnpick,96.2,57,122,"Croff Farm Bk/Buck Hill Rd, Rt 12",Burrillville,41.97906,-71.78656,,,,,,,,
2,2,12,930914,brbull,72.1,49,138,Trib/Shady Oak/Whites P,Glocester,41.89096,-71.77590,,,,,,,,
2,2,12,930914,brktrt,146.4,120,160,Trib/Shady Oak/Whites P,Glocester,41.89096,-71.77590,,,,,,,,
2,2,12,930914,gldshnr,67.1,57,85,Trib/Shady Oak/Whites P,Glocester,41.89096,-71.77590,,,,,,,,
2,2,13,930714,brktrt,83.4,60,143,Trib/Shady Oak/Sheldon Rd,Glocester,41.89754,-71.77608,,,,,,,,
2,2,14,930920,brbull,127.6,70,156,Shady Oak Bk/Snake Hill Rd,Glocester,41.86788,-71.78361,,,,,,,,
2,2,14,930920,eel,610.0,610,610,Shady Oak Bk/Snake Hill Rd,Glocester,41.86788,-71.78361,,,,,,,,
2,2,14,930920,gldshnr,111.5,84,122,Shady Oak Bk/Snake Hill Rd,Glocester,41.86788,-71.78361,,,,,,,,
2,2,15,1111101,blgl,178.7,126,270,Beach Pond (South),Exeter,413417.4,714704.9,,,,,,,,
2,2,15,1111101,blkcrp,246.5,168,325,Beach Pond (South),Exeter,413417.4,714704.9,,,,,,,,
2,2,15,1111101,bndkilli,50.5,50,51,Beach Pond (South),Exeter,413417.4,714704.9,,,,,,,,
2,2,15,1111101,chnpick,282.5,161,537,Beach Pond (South),Exeter,413417.4,714704.9,,,,,,,,
